Genres,Release_year,Runtime,Language,Adult,Vote_average
"['Action', 'Adventure', 'Science Fiction', 'Thriller']",1987.0,107,en,0,7.5
"['Action', 'Crime', 'Thriller']",2014.0,132,en,0,7.281
"['Horror', 'Thriller']",2025.0,96,en,0,6.177
"['Action', 'Adventure', 'Science Fiction']",2015.0,121,en,0,7.629
"['Adventure', 'Animation', 'Family']",2010.0,100,en,0,7.609
"['Action', 'Drama', 'War']",2014.0,135,en,0,7.541
"['Action', 'Adventure', 'Horror']",2025.0,90,en,0,5.0
"['Adventure', 'Animation', 'Family', 'Fantasy']",2024.0,85,lv,0,8.095
"['Comedy', 'Romance']",2026.0,100,en,0,7.375
"['Action', 'Science Fiction', 'Thriller']",2025.0,119,en,0,5.983
"['Action', 'Drama', 'Mystery', 'Thriller']",2003.0,120,ko,0,8.241
"['Action', 'Adventure', 'Science Fiction']",2018.0,135,en,0,7.362
"['Action', 'Adventure', 'Science Fiction']",2017.0,137,en,0,7.6
"['Action', 'Adventure', 'Fantasy']",2006.0,151,en,0,7.374
"['Comedy', 'Drama']",1998.0,103,en,0,8.151
"['Action', 'Mystery', 'Science Fiction', 'Thriller']",2014.0,113,en,0,7.189
"['Comedy', 'Romance', 'Western']",1937.0,67,en,0,6.0
"['Adventure', 'Animation', 'Comedy', 'Horror', 'Science Fiction']",2025.0,91,en,0,6.539
"['Action', 'Thriller']",2025.0,84,en,0,5.851
"['Action', 'Science Fiction']",2018.0,112,en,0,6.826
"['Action', 'Adventure', 'Science Fiction']",2013.0,130,en,0,6.931
"['Adventure', 'Mystery', 'Science Fiction']",2026.0,156,en,0,0.0
['Documentary'],1978.0,27,en,0,0.0
"['Mystery', 'Science Fiction', 'Thriller']",2011.0,106,en,0,7.194
"['Action', 'Comedy', 'Crime', 'Thriller']",2025.0,114,en,0,6.736
"['Drama', 'Romance']",2022.0,110,pl,0,5.93
['Comedy'],2009.0,100,en,0,7.329
"['Action', 'Adventure', 'Science Fiction']",2016.0,147,en,0,7.446
"['Drama', 'History', 'War']",2016.0,139,en,0,8.191
"['Drama', 'War']",1979.0,147,en,0,8.267
"['Comedy', 'Drama', 'Thriller']",2019.0,162,en,0,7.423
"['Drama', 'Romance', 'Science Fiction']",2013.0,126,en,0,7.841
"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",2024.0,115,en,0,7.338
['Drama'],2013.0,107,ml,0,3.0
"['Action', 'Adventure', 'Drama']",2024.0,148,en,0,6.631
"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family']",2017.0,102,en,0,6.852
"['Horror', 'Science Fiction', 'Thriller']",2025.0,108,en,0,6.949
"['Horror', 'Thriller']",2026.0,92,en,0,6.0
"['Crime', 'Drama']",1976.0,114,en,0,8.1
"['Comedy', 'Horror']",2012.0,75,en,0,0.0
"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",2014.0,102,en,0,7.725
"['Action', 'Adventure', 'Science Fiction']",2024.0,115,en,0,7.052
"['Action', 'Drama', 'Thriller']",2025.0,113,en,0,6.257
"['Drama', 'Western']",2012.0,165,en,0,8.187
"['Action', 'Animation', 'Comedy', 'Family']",2008.0,90,en,0,7.315
"['Action', 'Comedy', 'Science Fiction']",2025.0,102,en,0,6.033
"['Action', 'Crime', 'Drama']",2005.0,140,en,0,7.721
"['Action', 'Adventure', 'Thriller']",2024.0,127,en,0,6.436
"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",2000.0,78,en,0,7.558
"['Drama', 'Romance']",1994.0,98,it,0,5.5
['Romance'],2015.0,95,ko,0,6.0
"['Crime', 'Drama']",2026.0,112,en,0,0.0
['Drama'],1957.0,97,en,0,8.556
"['Drama', 'Horror', 'Thriller']",2019.0,169,en,0,6.841
"['Action', 'Adventure', 'Science Fiction']",2022.0,147,en,0,6.61
"['Adventure', 'Comedy', 'Science Fiction']",2025.0,137,en,0,6.8
"['Crime', 'Thriller']",2016.0,96,es,0,6.251
"['Drama', 'Romance']",2025.0,119,es,0,6.169
[],2021.0,13,en,0,0.0
"['Adventure', 'Animation', 'Fantasy']",2004.0,119,ja,0,8.387
"['Horror', 'Mystery']",2022.0,114,en,0,6.688
"['Action', 'Adventure', 'Horror', 'Thriller']",2016.0,118,ko,0,7.749
"['Horror', 'Thriller']",2023.0,110,en,0,7.337
