Movie_id,Vote_average,Vote_count
11635,6.623,2055
1262815,6.0,16
1140535,6.123,684
500916,5.601,417
297222,7.698,1122
2034,7.512,6441
10764,6.334,8377
11860,6.216,670
274855,6.111,5072
48138,6.686,4095
70160,7.221,23028
95,6.829,8423
852370,6.522,45
296,6.185,7116
882598,6.7,3928
829560,6.384,1290
537971,6.1,30
1226578,6.534,2486
86834,5.673,6518
345940,6.25,8078
1585,8.276,4792
1572,7.3,6539
1107216,7.0,37
1214140,6.0,95
871,7.645,3855
1824,6.869,7603
9778,6.951,2095
1287322,7.3,88
338953,6.63,5000
334541,7.6,6295
235,7.843,6353
44896,6.888,6957
77877,7.169,3788
343668,7.0,10975
1607,7.869,2766
86834,5.673,6518
9340,7.512,6117
2978,6.596,4750
72976,6.853,3993
4638,7.562,8148
1262815,6.0,16
39437,5.8,106
399055,7.237,12707
142,7.8,7428
53411,5.914,64
10764,6.334,8377
274857,6.55,5967
686,7.438,4866
563,7.1,5348
346,8.451,4120
420809,7.299,6396
1637,7.147,6702
770156,8.36,349
1419826,7.066,38
11770,7.2,2466
153,7.4,7906
5548,7.4,5592
96721,7.731,7663
624860,6.345,6306
581528,7.844,1409
796,6.798,3497
49040,6.24,6017
1175842,7.292,24
180,7.349,9410
10028,6.344,1221
440,5.2,3233
515001,7.993,10222
26389,6.356,2246
1538,7.238,6128
486593,0.0,0
1287322,7.3,88
282035,5.518,7536
856289,7.1,467
1202863,6.079,19
1618784,6.0,6
927,7.14,6863
631843,6.322,4784
10009,7.3,5680
1208284,6.238,42
4977,7.814,2771
296,6.185,7116
609681,5.9,3254
508883,7.403,2531
36643,6.285,3184
250546,5.789,6482
1933,7.617,7018
297,7.357,5644
276907,7.058,4186
308531,6.047,3734
1954,7.572,8059
381283,6.961,6996
609681,5.9,3254
1181678,8.554,299
15121,7.731,3560
217,6.018,8879
300668,6.439,9209
12092,7.188,6188
1482959,0.0,0
1427,7.364,4905
479718,7.668,516
65,7.14,7690
9340,7.512,6117
310,6.722,11315
80321,6.626,6466
1406519,4.0,3
39513,6.734,6139
646,6.99,3960
710,6.898,4227
1607,7.869,2766
1573,7.0,6273
1406519,4.0,3
268896,6.125,5240
190859,7.413,13482
48138,6.686,4095
300668,6.439,9209
44833,5.882,5836
8909,6.526,7460
10882,6.943,5412
1005331,6.89,2625
1214140,6.0,95
1088166,7.0,328
1015539,6.25,16
105864,6.736,5896
1374462,7.0,3
1471345,5.6,63
811941,6.915,211
402,6.934,4274
864,7.003,2231
1153714,6.399,743
926670,7.685,251
2503,7.434,8207
1153714,6.399,743
9323,7.924,3767
117263,6.413,6964
6557,6.45,3333
8689,6.3,1814
6844,7.8,1796
61791,7.339,12558
23823,5.694,1247
11013,6.8,1838
1014590,7.183,977
4982,7.589,5890
308531,6.047,3734
16859,7.8,4461
85430,5.7,31
1267905,6.705,587
1337395,6.1,7
466282,7.596,8662
534,6.081,6899
473033,7.156,5250
487616,5.773,238
1226578,6.534,2486
799583,7.019,1763
